idx	bleu	src_line	hyp_line	ref_line	source	hyp	ref
1	86.33	1	1	Event 7fe4/0420/6cc5 Fuji TV 081	Event 7fe4/0420/6cc5  Fuji TV
2	3.63	2	2	Mon. 28th, 04/28th (Monday) 9:50:00-11:30:00	04 / 28
3	2.17	3	3	Non-stop! [Kobayashi Sachiko Descends on the Niconico Super Conference in a Secret Retreat▽Miura Daichi's 3 Children's Daddy's True Face]��������	Nonstop! I went to the super Conference
4	6.67	4	4	The Kimio Kobayashi Close-Up on the Nico Nico Super Conference ▽ "At One Point I Was Resigned to Death..." Isao Sasaki's Return Live ▽ Miura Daichi Studio Appearance 3 Children's Papa True Face ▽ Osamu Mukai	I went back to Nikko Ko conference, and Yukiko Kobayashi's "the death is ready..."
5	20.56	5	5	- Good morning. - Good morning.	Good morning.
6	10.68	6	6	and now the nonstop!	Nonstop!
7	11.99	7	7	the theme for this week's sekirara voice post is	The voice of this week's contribution theme is
8	4.77	8	8	It's a memorable G.W.D.	GW of memories.
9	7.77	9	9	Please submit your responses to the QR codes displayed on the screen.	Please read from the QR code displayed by everyone.
10	0.00	10	10	Then shall we go then?	Let's get together.
11	7.27	11	11	April 28th, again… "Non-stop!"	April 28, today. Nonstop!
12	3.74	12	12	- Last Friday, you appeared on "Palipi Kongmyeong THE HEP MOKE"	Friday night "Paris"
13	6.57	13	13	the opening day stage greetings were given	The first stage greeting is done
14	3.75	14	14	mr. mukai rie, moka joshiraishi, and dean fusjoka	Dean fugioka, by ujiroishi
15	22.09	15	15	The work featured Mamoru Miyano and others.	Maimori Miyano and others appeared.
16	8.40	16	16	We ended up fighting with music. Seriously!?	I decided to fight in music. In the mage!
17	0.00	17	17	mr. mukai's character zhuge kongming is reincarnated in the present day	Mukaisho performed by Mukai San
18	5.26	18	18	the amateur singer, eiko, played by joshiraishi mr. is a professional translator	An amateur singer who plays
19	5.88	19	19	I will become a strategist and use the power of music to bring peace to the world.	To become a military man and aim at the peace of the earth
20	30.21	20	20	It's a flashy entertainment movie.	Doggie entertainment movie.
21	3.09	21	21	'Nonstop!' is a professional translator, including Mukai and Kamishiraishi.	"Nonstop!"
22	7.47	22	22	The four performers were directly hit. I got hit by four people.	I hit four performers directly.
23	31.02	23	23	One of the highlights is the live scene.	One of the scenes is live scene.
24	20.45	24	24	The actors include Takanori Iwata and Kaori Mizumori, all playing themselves.	Mr. Takanori Iwata and Kaori mizumori
25	6.18	25	25	A group of over 50 musicians came together to create this piece.	More than 50 musicians
26	2.91	26	26	The fact that he appeared on the show has also generated a lot of buzz.	Even the appearance is calling the topic.
27	5.06	27	27	and so, in reference to the movie parliaments, we decided to make a professional translation	So, after the movie
28	13.13	28	28	the mukai's got the most excited outbursts	Mr. Mukai became the most feared
29	6.27	29	29	I looked up the artists featured...	I listened to the artist.
30	5.52	30	30	and then mr. dean made an unexpected revelation.	Then, Mr. Dean's unexpected fact.
31	5.52	31	31	The four members in private, however,	Four private people
32	4.03	32	32	When do you get excited? What makes you get excited?	What time does tension go up?
